"Freq [MHz]","dB(S(Port0,Port0)) [] - ferrite_pos_z='0mm' Wb='400mm'","dB(S(Port0,Port0)) [] - ferrite_pos_z='0mm' Wb='1000mm'","dB(S(Port0,Port0)) [] - ferrite_pos_z='1mm' Wb='400mm'","dB(S(Port0,Port0)) [] - ferrite_pos_z='1mm' Wb='1000mm'"
3,6.58603183705371E-005,0.000193029675637027,-0.00515869181434612,-0.00875796455139836
3.7767762353825,-2.43824263375886E-005,-9.42172942893104E-005,-0.000677667783551779,-0.000982359092657035
4.75467957738334,0.000128559936152395,0.000363396603264464,-0.00985011059693424,-0.0153883847005623
5.98578694490664,-0.000186555353621246,-0.000636726636192516,-0.00618981826812372,-0.00772138923112957
7.53565929452874,-0.000136771475612649,-0.000542323399978507,-0.00370805247938562,-0.00443780242391741
9.48683298050514,-0.000497299139135236,-0.00176999904446089,-0.0143140470239755,-0.0145659787093307
11.9432151166049,-0.000748816353617822,-0.00281842924970223,-0.0187035370625456,-0.0171171186430072
15.0356170088182,-0.000807150210103439,-0.00368988193619893,-0.015285036005702,-0.0162530453003552
18.9287203344058,-0.00141766791978111,-0.0071994635415246,-0.0203921988211605,-0.0568434612411091
23.8298470417284,-0.00242310073139154,-0.0145203781564208,-0.024631941570473,-0.371110802722557
30,-0.00748197441062663,-0.0396672160409026,-0.0571493696454658,-0.184978082486119
37.767762353825,-0.0268403115992952,-0.120289260643777,-0.150158033649535,-0.305806885747561
47.5467957738334,-0.107365103111466,-0.409571757384658,-0.569288559554937,-0.745490425025044
59.8578694490664,-0.350925078190203,-1.33393546607038,-5.96361737905531,-1.68746263055326
75.3565929452874,-0.764770205138191,-3.1123526486191,-13.6203310470669,-3.53015905825345
94.8683298050514,-1.2166614339871,-5.12436727390875,-7.86866705360524,-6.82680502587928
119.432151166049,-1.84602006887087,-8.90675599734466,-6.21337501958133,-6.71180712897732
150.356170088182,-3.29657777404265,-20.2058334658841,-5.58144389493293,-6.38224056991963
189.287203344058,-5.04753200325738,-12.5164287641784,-6.38894847360997,-6.43196653020686
238.298470417284,-6.27616578750094,-28.7023518323187,-7.55027152630776,-6.44763055705627
300,-10.0854103489283,-13.848992803668,-7.77298431296874,-6.62080908481763
