"Freq [MHz]","dB(S(Port0,Port0)) [] - ferrite_pos_z='0mm' Wb='400mm'","dB(S(Port0,Port0)) [] - ferrite_pos_z='0mm' Wb='1000mm'","dB(S(Port0,Port0)) [] - ferrite_pos_z='1mm' Wb='400mm'","dB(S(Port0,Port0)) [] - ferrite_pos_z='1mm' Wb='1000mm'"
30,-0.00664313479705787,-0.0265109160895633,-0.0497038119897461,-0.417821965130475
37.767762353825,-0.0252723715379698,-0.0931201435901553,-0.131139781723927,-0.449592863396146
47.5467957738334,-0.104406331311095,-0.375569419860145,-0.415991493894605,-0.932376882807279
59.8578694490664,-0.344859323176207,-1.40000694657129,-1.60086860674941,-1.89569906066406
75.3565929452874,-0.75152424920672,-3.32207703282042,-8.25210359813572,-3.23374322128042
94.8683298050514,-1.19686416282692,-5.1904578075718,-12.1340062640738,-6.23758239792029
119.432151166049,-1.86829458839922,-8.52861251521464,-7.70419887300548,-6.59219537179966
150.356170088182,-3.53030020342335,-20.9055457102781,-5.9097611228272,-6.44798210034008
189.287203344058,-5.29855737582662,-12.4117709154745,-5.43481695164789,-6.2808741696284
238.298470417284,-6.12742953587757,-29.1945313725222,-6.44824748743134,-6.4848631945288
300,-9.65203863404725,-13.657539815518,-6.73104705805731,-6.70637592516681
