"Freq [MHz]","dB(S(Port0,Port0)) [] - ferrite_pos_z='0mm' Wb='400mm'","dB(S(Port0,Port0)) [] - ferrite_pos_z='0mm' Wb='1000mm'","dB(S(Port0,Port0)) [] - ferrite_pos_z='1mm' Wb='400mm'","dB(S(Port0,Port0)) [] - ferrite_pos_z='1mm' Wb='1000mm'"
30,-0.0247539299132931,-0.0897809384919359,-0.250748335867426,-0.317452308226254
37.767762353825,-0.0736710626678957,-0.164055658515975,-1.32624196588568,-0.676485243044139
47.5467957738334,-0.231820419557626,-0.288878108119478,-3.27111778359829,-3.33931691050647
59.8578694490664,-0.606016774588687,-0.726364492037697,-4.07814394902434,-7.38124211774667
75.3565929452874,-0.986535995045307,-2.76200869897005,-5.08246238770063,-8.87119361842176
94.8683298050514,-1.01288434765638,-13.6736740333681,-6.94660316305414,-9.2616467937833
119.432151166049,-1.2450153233465,-8.41448802029997,-9.39233385485942,-9.78422144620133
150.356170088182,-2.34097957046966,-19.6990028289183,-9.9431075928931,-10.1610177864487
189.287203344058,-6.90117663160924,-12.5443799783799,-10.0955877603087,-10.4912269440508
238.298470417284,-11.5309463351276,-11.9974549522328,-10.3768170146949,-10.7253036462327
300,-14.252843432317,-13.8467411497215,-10.5684000887385,-10.8760911120502
